[ ^zz++++=[Ellis
would ^md+prd+++=would
have ^vb+hv+vrb++=have
an ^at++++=an
auction ^nn+nom+++=auction
and ^cc++++=and
let ^vb+++xvbn+=let
them ^pp3o+pp3+++=them
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
highest ^jjt+atrb+++=highest
bidders ^nns+nom+++=bidders.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see
Remington ^np+++??+=Remington
Solander ^np+nom+++=Solander's
's ^vbz+bez+aux++0=EXTRAWORD
Talking ^vbg+++xvbg+=Talking
Tomb ^nn++++=Tomb
was ^vbd+bedz+aux++=was
becoming ^vbg+++xvbgx+=becoming
nationally ^rb++++=nationally
famous ^jj++++=famous.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
began ^vbd+++xvbn+=began
to ^to++++=to
negotiate ^nn+nom+++=negotiate
with ^in++++=with
the ^ati++++=the
owners ^nns++++=owners
of ^in++++=of
six ^cd++++=six
farms ^nns++++=farms
adjacent ^jj++++=adjacent
to ^in++++=to
our ^pp$+pp1+++=our
cemetery ^nn+nom+++=cemetery;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
figured ^vbd+++xvbn+=figured
on ^in++++=on
buying ^xvbg+++xvbg+=buying
them ^pp3o+pp3+++=them
and ^cc++++=and
making ^vbg+++xvbg+=making
more ^rbr++++=more
new ^jj+atrb+++=new
additions ^nns+nom+++=additions
to ^in++++=to
the ^ati++++=the
cemetery ^nn+nom+++=cemetery.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
found ^vbd+vprv+tht0+xvbn+=found
we ^pp1a+pp1+++=we
could ^md+pos+++=could
not ^xnot++not++=not
use ^vb++++=use
three ^cd++++=three
of ^in++++=of
the ^ati++++=the
farms ^nns++++=farms.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reason ^nn++++=reason
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
loud ^jj+atrb+++=loud
speaker ^npt++++=speaker
in ^in++++=in
Remington ^np+++??+=Remington
Solander ^np+nom+++=Solander's
's ^$++++=EXTRAWORD
tomb ^nn++++=tomb
would ^md+prd+++=would
not ^xnot++not++=not
carry ^vb++++=carry
that ^cs+sub+++=that
far ^rb+pl+++=far;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
strong ^jj++++=strong
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
executors ^nns++++=executors
of ^in++++=of
his ^pp$+pp3+++=his
estate ^nn++++=estate
and ^cc++++=and
ran ^vbd+++xvbn+=ran
up ^in+cmpx+++=up
against ^in"++++=against
another ^dt++++=another
snag ^nn++++=snag
nothing ^pn++++=nothing
in ^in++++=in
the ^ati++++=the
radio ^nn++++=radio
outfit ^nn++++=outfit
in ^in++++=in
the ^ati++++=the
tomb ^nn++++=tomb
could ^md+pos+++=could
be ^vb+be+aux++=be
altered ^vpsv++agls+xvbnx+=altered
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
whatever ^nn+nom+++=whatever.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
will ^nn++++=will.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
loud ^jj+atrb+++=loud
speaker ^npt++++=speaker
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
maintained ^vprf+++xvbn+=maintained,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
wave ^nn++++=wave-length
- ^zz++++=EXTRAWORD
length ^rb++++=EXTRAWORD
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
kept ^vbd+++xvbn+=kept,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
makes ^vbz++++=makes
of ^in++++=of
batteries ^nns+nom+++=batteries
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
used ^vbd+++xvbn+=used,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
style ^nn++++=style
of ^in++++=of
tubes ^nns++++=tubes
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
used ^vbd+++xvbn+=used.
. ^zz++++=EXTRAWORD
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
of ^in++++=of
all ^abn++++=all
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
decided ^vbd+vprv++xvbn+=decided
to ^to+vcmp+++=to
let ^vbi++++=let
well ^jj+pred+++=well
enough ^qlp++++=enough
alone ^jj++++=alone
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
we ^pp1a+pp1+++=we
could ^md+pos+++=could
do ^vb+do+vrb++=do
anyway ^rb++++=anyway.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
bought ^vbd+++xvbn+=bought
the ^ati++++=the
farms ^nns++++=farms
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
reached ^vpsv++by+xvbnx+=reached
by ^in++++=by
the ^ati++++=the
loud ^jj+atrb+++=loud
speaker ^npt++++=speaker
and ^cc++++=and
had ^vb+hv+aux++=had
them ^pp3o+pp3+++=them
surveyed ^vbd+++xvbn+=surveyed
and ^cc+phrs+++=and
laid ^vbd+++xvbn+=laid
out ^rb+phrv+++=out
in ^in++++=in
lots ^nns++++=lots
and ^cc++++=and
then ^rn+tm+++=then
the ^ati++++=the
thing ^nn++++=thing
happened ^vbd+++xvbn+=happened!
! ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
sell ^vb++++=sell
my ^pp$+pp1+++=my
cemetery ^nn+nom+++=cemetery
stock ^nn++++=stock
for ^in++++=for
two ^cd++++=two
cents ^nns++++=cents
on ^in++++=on
the ^ati++++=the
dollar ^nn++++=dollar,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
anybody ^pn++++=anybody
will ^md+prd+++=will
bid ^vprf+++xvbn+=bid
that ^dt+dem+++=that
much ^ap++++=much
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
For ^in++++=For
what ^wdt+who+whq++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
happened ^vbd+++xvbn+=happened?
? ^zz++++=EXTRAWORD
Along ^in++++=Along
came ^vbd+++xvbn+=came
the ^ati++++=the
Government ^nn+nom+++=Government
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
regulating ^vbg+++xvbg+=regulating
this ^dt+dem+++=this
radio ^nn++++=radio
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
assigned ^xvbn+++xvbn+=assigned
new ^np++++=new
wave ^nn++++=wave-lengths
- ^zz++++=EXTRAWORD
lengths ^nns++++=EXTRAWORD
to ^in++++=to
all ^abn++++=all
the ^ati++++=the
broadcasting ^nn++++=broadcasting
stations ^nns+nom+++=stations.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
gave ^vbd+++xvbn+=gave
Remington ^np+++??+=Remington
Solander ^np+nom+++=Solander's
's ^$++++=EXTRAWORD
endowed ^vbd+++xvbn+=endowed
broadcasting ^nn++++=broadcasting
station ^nn+nom+++=station
Wzzz ^np+++??+=WZZZ
an ^at++++=an
855 ^cd++++=855-meter
- ^zz++++=EXTRAWORD
meter ^nn++++=EXTRAWORD
wave ^nn++++=wave-length,
- ^zz++++=EXTRAWORD
length ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
that ^dt+dem+++=that
station ^npl+nom+++=station
at ^rb++++=at
Dodwood ^np+++??+=Dodwood
station ^nn+nom+++=station
Pkx ^np+++??+=PKX
the ^ati++++=the
327 ^cd++++=327-meter
- ^zz++++=EXTRAWORD
meter ^nn++++=EXTRAWORD
wave ^nn++++=wave-length,
- ^zz++++=EXTRAWORD
length ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
Remington ^np+++??+=Remington
Solander ^np+nom+++=Solander's
's ^$++++=EXTRAWORD
tomb ^nn++++=tomb
poured ^vbd+++xvbn+=poured
fourth ^od++++=fourth
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
Ai ^vb+be+++=Ain't
n't ^xnot++not++0=EXTRAWORD
Got ^vbd+++xvbn+=Got
No ^at++++=No
Bananas ^np+++??+=Bananas"
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
" ^zz++++="Hot
hot ^jj+atrb+++=EXTRAWORD
Dog ^nn++++=Dog"
" ^zz++++=EXTRAWORD
jazz ^nn++++=jazz
and ^cc++++=and
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
You ^pp2+pp2+++=You
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
See ^vb+vprv+++=See
Mama ^nn++++=Mama
Every ^at++++=Every
Night ^nn++++=Night,
, ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
Can ^md+pos+++=Can't
n't ^xnot++not++0=EXTRAWORD
See ^vb+vprv+++=See
Mama ^npt++++=Mama
At ^rb++++=At
All ^abn++++=All,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
Hink ^np+++??+=Hink
Tubbs ^np+++??+=Tubbs
in ^in++++=in
his ^pp$+pp3+++=his
funny ^jj+atrb+++=funny
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
like ^in++++=like
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
day ^nn++++=day
an ^at++++=an
Irishman ^nn+nom+++=Irishman
and ^cc++++=and
a ^at++++=a
Swede ^nn++++=Swede
were ^vbd+bed+aux++=were
walking ^vbg+++xvbgx+=walking
down ^rp++++=down
Broadway ^np++++=Broadway
and ^cc++++=and
they ^pp3a+pp3+++=they
see ^vb+vprv+++=see
a ^at++++=a
flapper ^jjr++++=flapper
coming ^jj+++xvbg+=coming
towards ^in++++=towards
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
on ^in++++=on
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
short ^jj+atrb+++=short
skirts ^nns++++=skirts
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
wearing ^vbg+++xvbgx+=wearing,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see?
? ^zz++++=EXTRAWORD
So ^ql++++=So
Mike ^np++++=Mike
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says
' ^zz++++='Gee
gee ^uh++++=EXTRAWORD
be ^vb+be+vrb++=be
jabbers ^nns+nom+++=jabbers,
, ^zz++++=EXTRAWORD
Ole ^np+++??+=Ole,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
a ^at++++=a
peach ^nn++++=peach.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
Swede ^nn++++=Swede
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
silk ^nn++++=silk
stockings ^nns++++=stockings,
, ^zz++++=EXTRAWORD
' ^zz++++='Mebby
mebby ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
ban ^nn++++=ban
see ^vb+vprv+++=see
a ^at++++=a
peach ^nn++++=peach,
, ^zz++++=EXTRAWORD
Mike ^np++++=Mike,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
ban ^vb++++=ban
see ^vb+vprv+++=see
one ^cd1++++=one
mighty ^jj+atrb+++=mighty
nice ^jj+atrb+++=nice
pair ^nn++++=pair.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
day ^nn++++=day
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^to++++=to
see ^vbi+vprv+tht0++=see
my ^pp$+pp1+++=my
mother ^nn++++=mother-in-law
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
" ^zz++++="
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
program ^nn+++??+=program.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
like ^vb++++=like
them ^pp3o+pp3+++=them
are ^vb+ber+aux++=are
not ^xnot++not++=not
entitled ^vbd+++xvbn+=entitled
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
say ^vb+vpub+tht0++=say
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
not ^xnot++not++=not
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
programs ^nns+++??+=programs
to ^in++++=to
loud ^jj++++=loud-speak
- ^zz++++=EXTRAWORD
speak ^vb++++=EXTRAWORD
from ^in++++=from
a ^at++++=a
tomb ^nn++++=tomb
in ^in++++=in
a ^at++++=a
cemetery ^nn+nom+++=cemetery.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
expect ^vb+vprv+++=expect
old ^jj+atrb+++=old
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
turned ^vbd+++xvbn+=turned
clear ^jj++++=clear
over ^in++++=over
in ^in++++=in
his ^pp$+pp3+++=his
tomb ^nn++++=tomb
when ^wrb+who+++=when
those ^dt+dem+++=those
programs ^nns+++??+=programs
began ^vbd+++xvbn+=began
to ^to++++=to
come ^vbi++++=come
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
our ^pp$+pp1+++=our
board ^nn++++=board
of ^in++++=of
trustees ^nns+nom+++=trustees
went ^vbd+++xvbn+=went
right ^nn++++=right
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
thing ^nn++++=thing
we ^pp1a+pp1+++=we
could ^md+pos+++=could
do ^vb+do+vrb++=do
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
newspapers ^nns+nom+++=newspapers
gave ^vbd+++xvbn+=gave
us ^pp1o+pp1+++=us
double ^jj+atrb+++=double
pages ^nns++++=pages
the ^ati++++=the
next ^ap++++=next
Sunday ^nr++++=Sunday
" ^zz++++="Remington
remington ^np++++=EXTRAWORD
Solander ^np+nom+++=Solander's
's ^$++++=EXTRAWORD
Jazz ^nn++++=Jazz
Tomb ^nn++++=Tomb"
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="Westcote's
westcote ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
Two ^cd++++=Two-Step
- ^zz++++=EXTRAWORD
step ^vb++++=EXTRAWORD
Cemetery ^nn+nom+++=Cemetery."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
within ^in++++=within
a ^at++++=a
week ^nn++++=week
the ^ati++++=the
inmates ^nns+nom+++=inmates
of ^in++++=of
our ^pp$+pp1+++=our
cemetery ^nn+nom+++=cemetery
began ^vbd+++xvbn+=began
to ^to++++=to
move ^vbi++++=move
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Friends ^nns++++=Friends
of ^in++++=of
people ^nns++++=people
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
buried ^vpsv++agls+xvbnx+=buried
over ^in++++=over
a ^at++++=a
hundred ^cd++++=hundred
years ^nns++++=years
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
moved ^vbd+++xvbn+=moved
them ^pp3o+pp3+++=them
to ^in++++=to
other ^ap++++=other
cemeteries ^nns+nom+++=cemeteries
and ^cc++++=and
took ^vbd+++xvbn+=took
the ^ati++++=the
headstones ^nns+++??+=headstones
and ^cc++++=and
monuments ^nns+nom+++=monuments
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
month ^nn++++=month
our ^pp$+pp1+++=our
cemetery ^nn+nom+++=cemetery
looked ^vbd+++xvbn+=looked
like ^in++++=like
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
Great ^jj+atrb+++=Great
War ^nn++++=War
battlefields ^nns++++=battlefields
like ^in++++=like
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
shell ^nn++++=shell-holes.
- ^zz++++=EXTRAWORD
holes ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
woman ^nn++++=woman
or ^cc++++=or
child ^nn++++=child
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
in ^in++++=in
the ^ati++++=the
place ^nn++++=place
except ^in++++=except
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
in ^in++++=in
his ^pp$+pp3+++=his
granite ^nn++++=granite
tomb ^nn++++=tomb
on ^in++++=on
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
high ^jj+atrb+++=high
knoll ^np++++=knoll.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
on ^in++++=on
our ^pp$+pp1+++=our
hands ^nns++++=hands
is ^vbz+bez+vrb++=is
a ^at++++=a
deserted ^jj+atrb++xvbn+=deserted
cemetery ^nn+nom+++=cemetery.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
all ^abn++++=all
blame ^nn++++=blame
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
anything ^pn++++=anything
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
All ^abn++++=All
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+aux++=do
is ^vbz+bez+aux++=is
groan ^vb++++=groan
every ^at++++=every
morning ^nn++++=morning
I ^pp1a+pp1+++=I
grab ^vb++++=grab
the ^ati++++=the
paper ^nn++++=paper
and ^cc++++=and
look ^nn++++=look
for ^in++++=for
the ^ati++++=the
Pkx ^np+++??+=PKX
program ^nn+++??+=program
and ^cc++++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
groan ^vb++++=groan.
. ^zz++++=EXTRAWORD
Remington ^np+++??+=Remington
Solander ^np+nom+++=Solander
Is ^vbz+bez+vrb++=is
The ^ati++++=the
Lucky ^jj+atrb+++=lucky
Man ^nn++++=man
He ^pp3a+pp3+++=he's
s ^vbz+bez+vrb++0=EXTRAWORD
Dead ^jj++++=dead.
 ^zz++++=EXTRAWORD
