A ^at++++=A
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
ordered ^vpsv++agls+xvbnx+=ordered
to ^to+vcmp+++=to
occupy ^vbi++++=occupy
the ^ati++++=the
sergeant ^nn+nom+++=sergeant
sniffed ^vbd+++xvbn+=sniffed
with ^in++++=with
disdain ^nn++++=disdain.
. ^zz++++=EXTRAWORD
" ^zz++++="These
these ^dt+dem+++=EXTRAWORD
people ^nns++++=people
must ^md+nec+++=must
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived
like ^in++++=like
cattle ^nns++++=cattle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
angrily ^rb++++=angrily.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
the ^ati++++=the
place ^nn++++=place
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
alluring ^jj++++=alluring.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ground ^nn++++=ground
floor ^nn++++=floor
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
the ^ati++++=the
housing ^nn++++=housing
of ^in++++=of
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark
and ^cc+phrs+++=and
terrible ^jj++++=terrible.
. ^zz++++=EXTRAWORD
A ^at++++=A
flight ^nn++++=flight
of ^in++++=of
steps ^nns++++=steps
led ^vbd+++xvbn+=led
to ^in++++=to
the ^ati++++=the
lofty ^np++++=lofty
first ^rb++++=first
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
denuded ^vpsv++agls+xvbnx+=denuded
but ^cc++++=but
respectable ^jj++++=respectable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sergeant ^nn+nom+++=sergeant's
's ^$++++=EXTRAWORD
visage ^nn++++=visage
lightened ^vbd+++xvbn+=lightened
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
strong ^jj+atrb+++=strong
walls ^nns++++=walls
of ^in++++=of
stone ^nn++++=stone
and ^cc++++=and
cement ^nn++++=cement.
. ^zz++++=EXTRAWORD
" ^zz++++="Unless
unless ^cs+cnd+++=EXTRAWORD
they ^pp3a+pp3+++=they
turn ^vb++++=turn
guns ^nns++++=guns
on ^in++++=on
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
will ^md+prd+++=will
never ^rb++splt++=never
get ^vb++++=get
us ^pp1o+pp1+++=us
out ^rp+pl+++=out
of ^in++++=of
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
cheerfully ^rb++++=cheerfully
to ^in++++=to
the ^ati++++=the
squad ^nn++++=squad.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men,
, ^zz++++=EXTRAWORD
anxious ^jj++++=anxious
to ^to+jcmp+++=to
keep ^vbi++++=keep
him ^pp3o+pp3+++=him
in ^in++++=in
an ^at++++=an
amiable ^jj+atrb+++=amiable
mood ^nn++++=mood,
, ^zz++++=EXTRAWORD
all ^abn++++=all
hurriedly ^rb++++=hurriedly
grinned ^vbd+++xvbn+=grinned
and ^cc+phrs+++=and
seemed ^vbd+seem++xvbn+=seemed
very ^ql+amp+++=very
appreciative ^jj++++=appreciative
and ^cc+phrs+++=and
pleased ^jj+++xvbn+=pleased.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
this ^dt+dem+++=this
into ^in++++=into
a ^at++++=a
fortress ^nns+nom+++=fortress,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
announced ^vbd+vpub++xvbnx+=announced.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sent ^vbd+++xvbnx+=sent
Jones ^np++++=Jones
and ^cc++++=and
Patterson ^np++++=Patterson,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
orchard ^nn++++=orchard
thieves ^nns++++=thieves,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
on ^in++++=on
sentry ^nn++++=sentry-duty.
- ^zz++++=EXTRAWORD
duty ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
worked ^vbd+++xvbnx+=worked
the ^ati++++=the
others ^aps++++=others,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
could ^md+pos+++=could
think ^vb+vprv+++=think
of ^in++++=of
no ^at++++=no
more ^ql++++=more
things ^nns++++=things
to ^to++++=to
tell ^vbi++++=tell
them ^pp3o+pp3+++=them
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
Afterwards ^rb+tm+++=Afterwards
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
forth ^rb+cnj+++=forth,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
majorgeneral ^nn+nom+++=majorgeneral's
's ^vbz+bez+vrb++0=EXTRAWORD
serious ^jj+atrb+++=serious
scowl ^nn++++=scowl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
