prompt,source,filename,f1,f2,f3,f4
human,human,4000_story_0598.txt,12.537062917,15.803580228,-6.796328308,-0.16577559
llm_free,ai,4000_story_0598_llm_free.txt,-11.24242645,-14.31163788,6.5953950068,-3.517643377
human,human,4000_story_0602.txt,15.41028061,32.032287263,-6.909570211,-0.345258892
llm_free,ai,4000_story_0602_llm_free.txt,-11.0937429,-8.683844825,5.9521227767,-1.269993347
human,human,4000_story_0605.txt,13.021110304,15.077615287,-4.39024286,-0.170466917
llm_free,ai,4000_story_0605_llm_free.txt,-15.82294822,-14.0621989,2.8578884023,-1.408670326
human,human,4000_story_0606.txt,15.91494128,10.76150837,4.8873586722,2.7914794726
llm_free,ai,4000_story_0606_llm_free.txt,-11.93551265,-9.596761024,5.5777868191,-2.83991147
human,human,4000_story_0608.txt,16.589549772,14.960182876,-3.689374169,3.8841765687
llm_free,ai,4000_story_0608_llm_free.txt,-16.77471305,-6.650252692,2.0534191987,-1.627630999
human,human,4000_story_0610.txt,12.973892229,16.594223392,-3.579736984,1.5732413279
llm_free,ai,4000_story_0610_llm_free.txt,-13.25466413,-8.587900302,0.8438482157,1.9634506466
human,human,4000_story_0612.txt,15.531385688,9.0779605268,-4.188280052,2.8655260762
llm_free,ai,4000_story_0612_llm_free.txt,-13.74874756,-9.903870205,-0.073822556,0.0929108842
human,human,4000_story_0613.txt,16.931451521,9.716399617,-2.448533322,-0.890602599
